sample_id	stratum	target_bin	year	metro	state	zip	sale_id	eligibility	source_url
M01	Memphis/Mid-South	T1	2010	Memphis	TN	38119	135336	Eligible	https://www.estatesales.net/TN/Memphis/38119/135336
M02	Memphis/Mid-South	T1	2010	Memphis	TN	38119	140874	Eligible	https://www.estatesales.net/TN/Memphis/38119/140874
M03	Memphis/Mid-South	T2	2013	Memphis	TN	38117	414828	Eligible	https://www.estatesales.net/TN/Memphis/38117/414828
M04	Memphis/Mid-South	T2	2013	Memphis	TN	38103	453417	Eligible	https://www.estatesales.net/TN/Memphis/38103/453417
M05	Memphis/Mid-South	T3	2016	Memphis	TN	38135	1317660	Eligible	https://www.estatesales.net/TN/Memphis/38135/1317660
M06	Memphis/Mid-South	T3	2016	Cordova	TN	38018	1110027	Eligible	https://www.estatesales.net/TN/Cordova/38018/1110027
M07	Memphis/Mid-South	T4	2019	Memphis	TN	38125	2261472	Eligible	https://www.estatesales.net/TN/Memphis/38125/2261472
M08	Memphis/Mid-South	T4	2019	Memphis	TN	38119	2326491	Eligible	https://www.estatesales.net/TN/Memphis/38119/2326491
M09	Memphis/Mid-South	T5	2022	Memphis	TN	38117	3407958	Eligible	https://www.estatesales.net/TN/Memphis/38117/3407958
M10	Memphis/Mid-South	T6	2025	Memphis	TN	38112	4704771	Eligible	https://www.estatesales.net/TN/Memphis/38112/4704771
C01	Comparison	T1	2010	Houston	TX	77080	111720	REVIEW	https://www.estatesales.net/TX/Houston/77080/111720
C02	Comparison	T1	2010	Houston	TX	77058	116526	Eligible	https://www.estatesales.net/TX/Houston/77058/116526
C03	Comparison	T2	2013	Chicago	IL	60652	415512	Eligible	https://www.estatesales.net/IL/Chicago/60652/415512
C04	Comparison	T2	2013	Chicago	IL	60625	493533	Eligible	https://www.estatesales.net/IL/Chicago/60625/493533
C05	Comparison	T3	2016	Atlanta	GA	30327	1072521	Eligible	https://www.estatesales.net/GA/Atlanta/30327/1072521
C06	Comparison	T3	2016	Atlanta	GA	30305	1396620	Eligible	https://www.estatesales.net/GA/Atlanta/30305/1396620
C07	Comparison	T4	2019	Denver	CO	80220	2408184	Eligible	https://www.estatesales.net/CO/Denver/80220/2408184
C08	Comparison	T4	2019	Seattle	WA	98117	2167047	Eligible	https://www.estatesales.net/WA/Seattle/98117/2167047
C09	Comparison	T5	2022	Phoenix	AZ	85044	3439014	Eligible	https://www.estatesales.net/AZ/Phoenix/85044/3439014
C10	Comparison	T6	2025	Seattle	WA	98112	4636971	Eligible	https://www.estatesales.net/WA/Seattle/98112/4636971
