blind_id	picture_count	coverage_class	vhs_opportunity	vcr_opportunity	books_opportunity	microwave_opportunity	coder_notes
H-0503B3B5A5	216	C2	YES	NO	YES	NO	Multiple household areas and full shelving visible; kitchen/media equipment coverage incomplete.
H-185268F89A	68	C1	NO	NO	YES	NO	Predominantly selected items; one substantially exposed bookcase/office shelving area.
H-2CE80B3DBE	50	C1	NO	NO	NO	NO	Predominantly selected furnishings and tableware with little qualifying storage or room coverage.
H-2E38F11ADE	100	C3	YES	YES	YES	YES	Broad room-level coverage across living, dining, kitchen, bedroom, shelving, and media areas.
H-363DCCB3DC	49	C1	YES	YES	YES	NO	Mostly item-focused, but a substantially exposed living-room media/shelving installation creates media and books opportunities.
H-458D827CBB	34	C2	NO	NO	YES	NO	Multiple principal rooms documented; no qualifying media installation or sufficiently broad kitchen coverage.
H-479BF9FDE7	40	C2	NO	NO	YES	NO	Bedrooms, office, workshop, and living areas shown; office shelving qualifies for books only.
H-48983795F5	60	C3	NO	NO	YES	YES	Broad household and kitchen coverage; no sufficiently exposed media-storage/equipment installation.
H-5AABD162A1	29	C1	NO	YES	NO	NO	Selected furniture dominates; principal TV/equipment stand is exposed enough for VCR opportunity only.
H-74CAA99A1C	151	C2	YES	NO	YES	NO	Multiple living areas and substantially exposed bookcases; no qualifying equipment installation or kitchen coverage.
H-7D72D878F0	200	C3	YES	YES	YES	YES	Broad multi-room documentation including media wall, shelving, kitchen, bedrooms, and living spaces.
H-83DD9550A2	17	C0	NO	NO	NO	NO	Selected objects only; no meaningful household spatial coverage.
H-84A468753F	47	C2	YES	NO	YES	YES	Multiple household rooms plus full shelving and substantial kitchen wall/counter coverage.
H-B22123D608	60	C2	NO	NO	NO	YES	Multiple household areas and substantial kitchen coverage; no qualifying media or book-shelf opportunity.
H-BAF87E34E8	100	C1	NO	NO	NO	NO	Extensive object close-ups with limited spatial documentation.
H-BC41A9A201	168	C2	NO	NO	YES	NO	Multiple rooms/storage areas but strongly item-focused; a substantially exposed bookcase qualifies for books.
H-C600F59E3C	50	C2	NO	YES	YES	INDETERMINATE	Living/office and equipment stand are visible; kitchen coverage is substantial but borderline under the frozen threshold.
H-D4965F3396	181	C2	NO	NO	NO	INDETERMINATE	Many household areas but primarily item-level photography; kitchen coverage is fragmented and borderline.
H-DC85C7D2C0	411	C2	NO	NO	YES	YES	Very large item-focused gallery with repeated room context, shelf-bearing spaces, and substantial kitchen coverage.
H-E663F6EBAB	36	C2	YES	NO	YES	NO	Broad living/dining/bedroom/garage coverage and substantially exposed living-space bookcase; kitchen not documented.
